visualize scatter select facid , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . facid
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) desc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select building , count ( * ) from faculty group by building order by building desc
visualize bar select building , count ( * ) from faculty group by building order by building desc
visualize bar select building , count ( * ) from faculty group by building order by building desc
visualize bar select building , count ( * ) from faculty group by building order by building desc
visualize bar select building , count ( * ) from faculty group by building order by building desc
visualize bar select building , count ( * ) from faculty group by building order by building desc
visualize bar select building , count ( * ) from faculty group by building order by building desc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) asc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) asc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) asc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) asc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) asc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) asc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) asc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) desc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) desc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) desc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) desc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) desc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) desc
visualize bar select building , count ( * ) from faculty group by building order by count ( * ) desc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank asc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank asc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank asc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank desc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank desc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank desc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) asc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) asc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) asc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) desc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) desc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) desc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) desc
visualize bar select sex , count ( * ) from faculty group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty group by sex order by count ( * ) desc
visualize bar select sex , count ( * ) from faculty group by sex order by count ( * ) desc
visualize bar select sex , count ( * ) from faculty group by sex order by count ( * ) desc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank asc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank asc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank asc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank desc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank desc
visualize bar select rank , count ( rank ) from faculty group by rank order by rank desc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) asc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) asc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) asc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) desc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) desc
visualize bar select rank , count ( rank ) from faculty group by rank order by count ( rank ) desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by sex desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) desc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty group by rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by rank order by rank asc
visualize bar select rank , count ( * ) from faculty group by rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by rank order by rank desc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) desc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) desc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by fname asc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by fname asc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by fname desc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by fname desc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by count ( * ) asc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by count ( * ) asc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by count ( * ) desc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by count ( * ) desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) asc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) desc
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by count ( * ) desc
visualize pie select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize pie select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize pie select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize pie select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize pie select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft
visualize pie select description , count ( description ) from aircraft group by description
visualize pie select description , count ( description ) from aircraft group by description
visualize pie select description , count ( description ) from aircraft group by description
visualize pie select description , count ( description ) from aircraft group by description
visualize pie select description , count ( description ) from aircraft group by description
visualize pie select description , count ( description ) from aircraft group by description
visualize pie select description , count ( description ) from aircraft group by description
visualize bar select description , count ( description ) from aircraft group by description
visualize bar select description , count ( description ) from aircraft group by description
visualize bar select description , count ( description ) from aircraft group by description
visualize bar select description , count ( description ) from aircraft group by description
visualize bar select description , count ( description ) from aircraft group by description
visualize bar select description , count ( description ) from aircraft group by description
visualize bar select description , count ( description ) from aircraft group by description
visualize pie select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft
visualize pie select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft
visualize pie select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by aircraft asc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by aircraft asc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by aircraft asc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by aircraft desc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by aircraft desc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by aircraft desc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by count ( * ) asc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by count ( * ) asc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by count ( * ) asc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by count ( * ) desc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by count ( * ) desc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by count ( * ) desc
visualize bar select description , count ( description ) from aircraft group by description order by description asc
visualize bar select description , count ( description ) from aircraft group by description order by description asc
visualize bar select description , count ( description ) from aircraft group by description order by description asc
visualize bar select description , count ( description ) from aircraft group by description order by description asc
visualize bar select description , count ( description ) from aircraft group by description order by description asc
visualize bar select description , count ( description ) from aircraft group by description order by description asc
visualize bar select description , count ( description ) from aircraft group by description order by description asc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) asc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) asc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) asc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) asc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) asc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) asc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) asc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by aircraft asc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by aircraft asc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by aircraft desc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by aircraft desc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by count ( aircraft ) asc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by count ( aircraft ) asc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by count ( aircraft ) desc
visualize bar select aircraft , count ( aircraft ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by aircraft order by count ( aircraft ) desc
visualize pie select allergytype , count ( * ) from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy group by t2 . allergytype
visualize pie select allergytype , count ( * ) from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy group by t2 . allergytype
