visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize bar select hire_date , avg ( salary ) from employees where employee_id not in ( select employee_id from job_history ) order by avg ( salary ) desc bin hire_date by month
visualize bar select dept_code , sum ( stu_hrs ) from student group by dept_code order by sum ( stu_hrs ) asc
visualize bar select ppos , min ( t2 . hs ) from tryout as t1 join player as t2 on t1 . pid = t2 . pid group by ppos
visualize line select date_in_location_from , count ( date_in_location_from ) from document_locations group by date_in_location_from order by date_in_location_from desc
visualize bar select first_name , count ( first_name ) from owners as t1 join dogs as t2 on t1 . owner_id = t2 . owner_id group by first_name order by first_name asc
visualize bar select team_name , all_games_percent from basketball_match
visualize scatter select account_id , account_name from accounts
visualize bar select premises_type , count ( premises_type ) from customer_addresses as t1 join premises as t2 on t1 . premise_id = t2 . premise_id group by address_type_code , premises_type order by premises_type asc
visualize bar select name , count ( * ) from singer_in_concert as t1 join singer as t2 on t1 . singer_id = t2 . singer_id group by t2 . singer_id order by name asc
visualize bar select result , count ( result ) from acceptance group by result order by count ( result ) asc
visualize bar select course_name , count ( course_name ) from courses group by course_name
visualize bar select t1 . name , count ( t1 . name ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by count ( t1 . name ) desc
visualize bar select type , avg ( tonnage ) from ship group by type order by type desc
visualize bar select headquarter , sum ( revenue ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by sum ( revenue ) desc
visualize bar select cust_name , credit_score from customer as t1 join loan as t2 on t1 . cust_id = t2 . cust_id order by credit_score desc
visualize bar select city_code , avg ( age ) from student where sex = {value} group by city_code
visualize bar select date , count ( date ) from weather order by max_gust_speed_mph desc limit {value} bin date by weekday
visualize bar select class_room , count ( * ) from class group by class_room order by count ( * ) desc
visualize bar select t2 . name , max ( t1 . price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by max ( t1 . price ) asc
visualize bar select role_code , count ( * ) from users group by role_code order by role_code desc
visualize line select season , count ( season ) from game group by season order by season asc
visualize pie select all_games , all_games_percent from basketball_match
visualize bar select city_code , avg ( age ) from student where sex = {value} group by city_code order by avg ( age ) desc
visualize bar select hire_date , sum ( employee_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by sum ( employee_id ) asc bin hire_date by month
visualize bar select team , count ( * ) from technician group by team order by team desc
visualize scatter select count ( * ) , customer_id from accounts group by customer_id
visualize line select visit_date , count ( visit_date ) from visits bin visit_date by year
visualize bar select sex , max ( age ) from student group by sex order by sex asc
visualize bar select nationality , count ( * ) from people group by nationality order by nationality desc
visualize bar select home_team , count ( home_team ) from game group by home_team
visualize bar select allergytype , count ( allergytype ) from allergy_type as t1 join has_allergy as t2 on t1 . allergy = t2 . allergy join student as t3 on t3 . stuid = t2 . stuid where t3 . fname = {value} group by allergytype order by count ( allergytype ) asc
visualize bar select product_type_code , count ( product_type_code ) from product_suppliers as t1 join products as t2 on t1 . product_id = t2 . product_id where t1 . supplier_id = {value} group by product_type_code
visualize bar select date_claim_made , count ( date_claim_made ) from claims where amount_settled <= ( select avg ( amount_settled ) from claims ) order by count ( date_claim_made ) asc bin date_claim_made by weekday
visualize bar select nationality , avg ( age ) from journalist group by nationality order by nationality desc
visualize bar select t1 . first_name , t1 . manager_id from employees as t1 join departments as t2 on t1 . department_id = t2 . department_id where t1 . employee_id = t2 . manager_id order by t1 . manager_id asc
visualize bar select ppos , min ( t2 . hs ) from tryout as t1 join player as t2 on t1 . pid = t2 . pid group by ppos order by ppos desc
visualize bar select t2 . name , avg ( t1 . price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by avg ( t1 . price ) asc
visualize bar select hire_date , avg ( employee_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by avg ( employee_id ) asc bin hire_date by weekday
visualize bar select job_id , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by job_id desc
visualize bar select last_name , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by department_id desc
visualize bar select nationality , count ( * ) from people group by nationality order by count ( * ) desc
visualize scatter select killed , injured from death as t1 join ship as t2 on t1 . caused_by_ship_id = t2 . id where t2 . tonnage = {value}
visualize pie select location , count ( location ) from wrestler group by location
visualize bar select hometown , count ( * ) from gymnast as t1 join people as t2 on t1 . gymnast_id = t2 . people_id group by t2 . hometown order by count ( * ) desc
visualize bar select acc_road , count ( acc_road ) from basketball_match group by acc_road
visualize pie select nationality , count ( * ) from pilot group by nationality
visualize bar select gender , avg ( age ) from person group by gender order by avg ( age ) asc
visualize bar select budget_type_description , count ( budget_type_description ) from documents_with_expenses as t1 join ref_budget_codes as t2 on t1 . budget_type_code = t2 . budget_type_code group by budget_type_description
visualize bar select t2 . name , t1 . manufacturer from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t2 . name desc
visualize bar select team_name , all_games_percent from basketball_match order by all_games_percent asc
visualize bar select hire_date , avg ( manager_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by avg ( manager_id ) desc bin hire_date by weekday
visualize bar select languages , avg ( rating ) from song group by languages order by avg ( rating ) asc
visualize bar select job_id , count ( job_id ) from employees where first_name like {value} or first_name like {value} group by job_id order by job_id desc
visualize bar select city_code , avg ( age ) from student group by city_code order by city_code desc
visualize scatter select investor_id , avg ( amount_of_transaction ) from transactions group by investor_id
visualize bar select gender , sum ( student_capacity ) from dorm group by gender order by sum ( student_capacity ) desc
visualize bar select all_games , school_id from basketball_match
visualize bar select name , age from editor order by name asc
visualize bar select acc_road , school_id from basketball_match group by acc_home , acc_road order by acc_road asc
visualize bar select acc_regular_season , all_games_percent from basketball_match order by acc_regular_season desc
visualize line select year , count ( * ) from section group by semester order by year desc bin year by year
visualize bar select year , count ( * ) from matches group by year order by count ( * ) asc
visualize line select creation , count ( creation ) from department group by creation order by creation asc
visualize bar select team , count ( * ) from technician group by team order by team desc
visualize bar select record_company , count ( * ) from orchestra group by record_company order by count ( * ) desc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name , t1 . name order by t1 . name desc
visualize bar select description , count ( description ) from aircraft group by description order by description desc
visualize line select hire_date , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by hire_date desc
visualize bar select job_id , sum ( employee_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by sum ( employee_id ) desc
visualize bar select event_details , count ( event_details ) from events group by event_details
visualize bar select meter_700 , meter_100 from swimmer order by meter_700 desc
visualize bar select took_office , count ( took_office ) from party group by minister bin took_office by year
visualize bar select hire_date , sum ( employee_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by sum ( employee_id ) desc bin hire_date by month
visualize bar select date_of_birth , height from people order by height desc
visualize scatter select t1 . id , count ( * ) from operate_company as t1 join flight as t2 on t1 . id = t2 . company_id join airport as t3 on t2 . airport_id = t3 . id group by t3 . id
visualize scatter select t1 . code , t1 . manufacturer from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter
visualize pie select participant_type_code , count ( participant_type_code ) from participants group by participant_type_code
visualize bar select log_entry_date , problem_log_id from problem_log where problem_id = {value} order by log_entry_date asc
visualize bar select name , count ( name ) from repair_assignment as t1 join machine as t2 on t1 . machine_id = t2 . machine_id join technician as t3 on t1 . technician_id = t3 . technician_id where t2 . value_points > {value} group by name
visualize line select hire_date , employee_id from employees where hire_date < {value} order by hire_date asc
visualize bar select district_name , city_population from district where city_population between {value} and {value}
visualize bar select hire_date , avg ( employee_id ) from employees where hire_date < {value} bin hire_date by weekday
visualize bar select state , enr from college order by enr
visualize bar select catalog_entry_name , count ( catalog_entry_name ) from catalog_contents as t1 join catalog_contents_additional_attributes as t2 on t1 . catalog_entry_id = t2 . catalog_entry_id where t2 . catalog_level_number = {value} group by catalog_entry_name order by catalog_entry_name asc
visualize bar select country , count ( country ) from artist group by country order by count ( country ) asc
visualize bar select industry , count ( industry ) from company group by industry order by industry asc
visualize bar select job_id , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by job_id desc
visualize bar select hire_date , sum ( salary ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by sum ( salary ) desc bin hire_date by weekday
visualize bar select activity_name , count ( * ) from activity as t1 join faculty_participates_in as t2 on t1 . actid = t2 . actid group by t1 . actid order by activity_name asc
visualize bar select payment_method_code , count ( * ) from customers group by payment_method_code order by count ( * ) desc
visualize bar select dept_code , count ( * ) from class as t1 join course as t2 on t1 . crs_code = t2 . crs_code group by dept_code order by count ( * ) desc
visualize bar select rank , count ( rank ) from captain group by rank order by count ( rank ) desc
visualize bar select product_name , avg ( product_price ) from products group by product_name order by avg ( product_price ) asc
visualize bar select pettype , avg ( weight ) from pets group by pettype order by pettype desc
visualize bar select pixel_aspect_ratio_par , count ( pixel_aspect_ratio_par ) from tv_channel where language != {value} group by pixel_aspect_ratio_par
visualize line select date_of_transaction , count ( date_of_transaction ) from transactions where share_count > {value} or amount_of_transaction > {value} order by date_of_transaction desc bin date_of_transaction by year
visualize bar select job_id , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize bar select job_id , sum ( salary ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by job_id desc
visualize pie select charge_type , charge_amount from charges
visualize bar select headquarters , count ( headquarters ) from company group by headquarters order by count ( headquarters ) desc
visualize pie select team_name , acc_percent from basketball_match
visualize line select date_in_location_from , count ( date_in_location_from ) from document_locations group by location_code bin date_in_location_from by year
visualize bar select t2 . headquarter , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . headquarter order by t2 . headquarter desc
visualize bar select job , min ( age ) from person group by job order by min ( age ) asc
visualize bar select t2 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t1 . code desc
visualize bar select name , count ( name ) from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = {value} and t2 . points > {value} group by name order by name asc
visualize bar select meter_700 , meter_100 from swimmer order by meter_100 asc
visualize pie select all_neutral , team_id from basketball_match
visualize bar select t1 . dept_name , count ( distinct t2 . id ) from department as t1 join student as t2 on t1 . dept_name = t2 . dept_name join instructor as t3 on t1 . dept_name = t3 . dept_name order by t1 . dept_name asc
visualize bar select t3 . product_name , avg ( count ( * ) ) from orders as t1 join order_items as t2 join products as t3 on t1 . order_id = t2 . order_id and t2 . product_id = t3 . product_id group by t3 . product_name
visualize bar select building , count ( * ) from faculty group by building
visualize bar select record_company , count ( * ) from orchestra group by record_company order by record_company asc
visualize bar select is_full_time , sum ( shop_id ) from hiring group by is_full_time
visualize bar select venue , count ( venue ) from workshop group by venue order by count ( venue ) desc
visualize bar select headquarter , sum ( manufacturer ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by headquarter asc
visualize bar select job_id , sum ( salary ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} group by job_id order by job_id desc
visualize bar select name , count ( * ) from repair_assignment as t1 join technician as t2 on t1 . technician_id = t2 . technician_id group by t2 . name order by count ( * ) asc
visualize line select hire_date , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by hire_date desc
visualize bar select other_account_details , count ( other_account_details ) from accounts group by other_account_details order by count ( other_account_details ) asc
visualize bar select t1 . project_details , t1 . project_id from projects as t1 join documents as t2 on t1 . project_id = t2 . project_id
visualize bar select first_name , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by first_name asc
visualize bar select hire_date , sum ( salary ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by sum ( salary ) desc bin hire_date by month
visualize bar select booking_start_date , count ( booking_start_date ) from apartment_bookings as t1 join apartments as t2 on t1 . apt_id = t2 . apt_id bin booking_start_date by year
visualize bar select job_id , count ( job_id ) from employees where first_name like {value} or first_name like {value} group by job_id order by job_id asc
visualize pie select outcome_description , count ( outcome_description ) from research_outcomes as t1 join project_outcomes as t2 on t1 . outcome_code = t2 . outcome_code group by outcome_description
visualize bar select title , max ( t1 . price ) from schedule as t1 join film as t2 on t1 . film_id = t2 . film_id group by title order by title asc
visualize bar select t2 . founder , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . founder order by t1 . code asc
visualize scatter select id , meter_100 from swimmer
visualize bar select email , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by email desc
visualize scatter select avg ( age ) , max ( age ) from student group by sex
visualize bar select t2 . name , t2 . revenue from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t2 . revenue asc
visualize pie select paragraph_text , count ( paragraph_text ) from paragraphs as t1 join documents as t2 on t1 . document_id = t2 . document_id where t2 . document_name = {value} group by paragraph_text
visualize bar select booking_end_date , count ( booking_end_date ) from apartment_bookings as t1 join apartments as t2 on t1 . apt_id = t2 . apt_id where t2 . apt_type_code = {value} order by count ( booking_start_date ) asc bin booking_start_date by weekday
visualize line select year , avg ( weight ) from cars_data group by year
visualize bar select name , id from station as t1 join status as t2 on t1 . id = t2 . station_id where t2 . bikes_available > {value}
visualize bar select treatment_type_description , avg ( cost_of_treatment ) from treatments as t1 join treatment_types as t2 on t1 . treatment_type_code = t2 . treatment_type_code group by treatment_type_description order by treatment_type_description asc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name
visualize bar select t1 . first_name , t1 . customer_id from customers as t1 join bookings as t2 on t1 . customer_id = t2 . customer_id order by t1 . first_name desc
visualize bar select date_test_taken , count ( date_test_taken ) from student_tests_taken where test_result = {value} order by count ( date_test_taken ) asc bin date_test_taken by weekday
visualize pie select t1 . name , t1 . id from operate_company as t1 join flight as t2 on t1 . id = t2 . company_id
visualize bar select template_type_code , count ( template_type_code ) from templates group by template_type_code
visualize bar select last_name , salary from employees order by salary asc
visualize bar select nominee , count ( * ) from musical group by nominee order by count ( * ) asc
visualize bar select t1 . continent , count ( * ) from continents as t1 join countries as t2 on t1 . contid = t2 . continent join car_makers as t3 on t2 . countryid = t3 . country group by t1 . continent order by count ( * ) desc
visualize scatter select count ( * ) , t1 . maintenance_contract_id from maintenance_contracts as t1 join assets as t2 on t1 . maintenance_contract_id = t2 . maintenance_contract_id group by t1 . maintenance_contract_id
visualize bar select hire_date , sum ( department_id ) from employees where hire_date < {value} bin hire_date by month
visualize bar select first_name , avg ( salary ) from employees where first_name like {value} group by first_name order by first_name desc
visualize bar select date , count ( date ) from weather where max_temperature_f > {value} bin date by year
visualize scatter select acc_percent , all_games_percent from basketball_match group by acc_regular_season
visualize bar select type_of_thing_code , count ( type_of_thing_code ) from things as t1 join organizations as t2 on t1 . organization_id = t2 . organization_id group by organization_details , type_of_thing_code order by count ( type_of_thing_code ) asc
visualize bar select t2 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t2 . name desc
visualize bar select date_incident_end , count ( date_incident_end ) from behavior_incident where incident_type_code = {value} group by date_incident_end order by count ( date_incident_end ) asc
visualize bar select name , sum ( num_employees ) from department as t1 join management as t2 on t1 . department_id = t2 . department_id where t2 . temporary_acting = {value} group by name
visualize bar select is_full_time , count ( is_full_time ) from hiring group by is_full_time order by is_full_time asc
visualize pie select customer_name , customer_id from customers where customer_address like {value}
visualize bar select meter_500 , meter_100 from swimmer order by meter_500 desc
visualize bar select gender , count ( * ) from dorm group by gender order by gender desc
visualize bar select job_id , sum ( department_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by sum ( department_id ) asc
visualize bar select time , id from swimmer
visualize bar select job_id , sum ( employee_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by sum ( employee_id ) asc
visualize bar select name , avg ( trust ) from useracct as t1 join trust as t2 on t1 . u_id = t2 . target_u_id group by t2 . target_u_id order by avg ( trust ) asc
visualize bar select name , count ( name ) from races where year between {value} and {value} group by name order by name asc
visualize bar select t2 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t1 . code asc
visualize bar select year , count ( year ) from wine bin year by weekday
visualize bar select name , count ( * ) from repair_assignment as t1 join technician as t2 on t1 . technician_id = t2 . technician_id group by t2 . name order by name desc
visualize scatter select customer_id , count ( * ) from customers_cards group by customer_id
visualize bar select county , count ( county ) from appellations group by county order by county asc
visualize bar select building , count ( building ) from course as t1 join section as t2 on t1 . course_id = t2 . course_id where t1 . dept_name = {value} group by building order by count ( building ) asc
visualize bar select class , avg ( age ) from captain group by class order by class asc
visualize bar select subject_name , count ( * ) from courses as t1 join subjects as t2 on t1 . subject_id = t2 . subject_id group by t1 . subject_id order by count ( * ) asc
visualize bar select name , count ( name ) from appointment as t1 join physician as t2 on t1 . physician = t2 . employeeid group by name order by name desc
visualize bar select nationality , count ( * ) from people group by nationality order by count ( * ) asc
visualize pie select class_room , count ( * ) from class group by class_room
visualize pie select charge_type , charge_amount from charges
visualize scatter select t1 . manufacturer , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code
visualize bar select hire_date , count ( hire_date ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} bin hire_date by month
visualize pie select fullname , id from car_makers as t1 join model_list as t2 on t1 . id = t2 . maker
visualize bar select nationality , count ( * ) from pilot group by nationality order by nationality asc
visualize bar select is_full_time , sum ( shop_id ) from hiring group by is_full_time order by sum ( shop_id ) asc
visualize scatter select acc_percent , all_games_percent from basketball_match group by team_name
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . name asc
visualize bar select acc_road , avg ( school_id ) from basketball_match group by acc_road order by avg ( school_id ) desc
visualize bar select cust_name , credit_score from customer as t1 join loan as t2 on t1 . cust_id = t2 . cust_id order by cust_name desc
visualize pie select county_name , population from county
visualize bar select hire_date , avg ( department_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} bin hire_date by weekday
visualize bar select name , count ( * ) from singer_in_concert as t1 join singer as t2 on t1 . singer_id = t2 . singer_id group by t2 . singer_id order by count ( * ) desc
visualize bar select name , count ( name ) from train group by name order by name asc
visualize bar select nominee , count ( * ) from musical group by nominee order by count ( * ) desc
visualize bar select acc_regular_season , school_id from basketball_match order by acc_regular_season asc
visualize bar select meter_200 , sum ( meter_100 ) from swimmer group by meter_200 order by sum ( meter_100 ) asc
visualize bar select name , sum ( price ) from products group by name
visualize bar select headquarter , count ( distinct t1 . name ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code order by count ( distinct t1 . name ) desc
visualize bar select building , count ( * ) from faculty group by building
visualize scatter select t1 . price , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code
visualize bar select booking_start_date , count ( booking_start_date ) from apartment_bookings as t1 join guests as t2 on t1 . guest_id = t2 . guest_id where t2 . gender_code = {value} order by count ( booking_start_date ) desc bin booking_start_date by weekday
visualize bar select school_code , count ( * ) from department as t1 join professor as t2 on t1 . dept_code = t2 . dept_code group by t1 . school_code order by count ( * ) asc
visualize bar select continent , avg ( lifeexpectancy ) from country group by continent
visualize pie select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank
visualize line select start_from , count ( start_from ) from hiring order by start_from desc bin start_from by year
visualize bar select country , count ( * ) from member group by country order by count ( * ) desc
visualize line select built_year , count ( built_year ) from mill where type = {value} order by built_year asc bin built_year by year
visualize bar select formats , count ( * ) from files group by formats order by count ( * ) desc
visualize bar select t4 . name , count ( t4 . name ) from swimmer as t1 join record as t2 on t1 . id = t2 . swimmer_id join event as t3 on t2 . event_id = t3 . id join stadium as t4 on t4 . id = t3 . stadium_id where t1 . nationality = {value} group by t4 . name order by t4 . name asc
visualize pie select director , max ( t1 . stars ) from rating as t1 join movie as t2 on t1 . mid = t2 . mid where director != {value} group by director
visualize bar select first_name , count ( * ) from customers as t1 join bookings as t2 on t1 . customer_id = t2 . customer_id group by t1 . customer_id order by count ( * ) desc
visualize bar select studio , count ( * ) from film group by studio order by count ( * ) asc
visualize bar select rank , count ( * ) from faculty group by sex , rank order by count ( * ) asc
visualize bar select school_code , count ( * ) from department as t1 join professor as t2 on t1 . dept_code = t2 . dept_code group by t1 . school_code
